"id"|"status"|"company_parking_lot_id"|"cms_created"|"cms_updated"
"143884"|"free"|"40"|"2019-01-29 16:59:08"|"2019-01-29 16:59:08"
"143886"|"occupied"|"64"|"2019-01-31 05:23:05"|"2019-01-31 05:23:05"
"143887"|"occupied"|"43"|"2019-01-31 06:32:05"|"2019-01-31 06:32:05"
"143888"|"occupied"|"74"|"2019-01-31 06:32:06"|"2019-01-31 06:32:06"
"143889"|"occupied"|"56"|"2019-01-31 06:42:05"|"2019-01-31 06:42:05"
"143890"|"free"|"74"|"2019-01-31 06:47:04"|"2019-01-31 06:47:04"
"143891"|"occupied"|"60"|"2019-01-31 06:53:05"|"2019-01-31 06:53:05"
"143892"|"occupied"|"12"|"2019-01-31 07:03:04"|"2019-01-31 07:03:04"
"143894"|"occupied"|"52"|"2019-01-31 07:15:06"|"2019-01-31 07:15:06"
"143895"|"occupied"|"42"|"2019-01-31 07:22:06"|"2019-01-31 07:22:06"
"143896"|"occupied"|"78"|"2019-01-31 07:24:05"|"2019-01-31 07:24:05"
"143897"|"occupied"|"71"|"2019-01-31 07:29:05"|"2019-01-31 07:29:05"
"143898"|"occupied"|"89"|"2019-01-31 07:32:05"|"2019-01-31 07:32:05"
"143899"|"occupied"|"51"|"2019-01-31 07:34:06"|"2019-01-31 07:34:06"
"143900"|"occupied"|"15"|"2019-01-31 07:39:05"|"2019-01-31 07:39:05"
"143901"|"free"|"56"|"2019-01-31 07:40:06"|"2019-01-31 07:40:06"
"143902"|"occupied"|"50"|"2019-01-31 07:41:06"|"2019-01-31 07:41:06"
"143903"|"occupied"|"4"|"2019-01-31 07:45:04"|"2019-01-31 07:45:04"
"143904"|"occupied"|"11"|"2019-01-31 07:47:04"|"2019-01-31 07:47:04"
"143905"|"occupied"|"59"|"2019-01-31 07:56:05"|"2019-01-31 07:56:05"
"143906"|"occupied"|"84"|"2019-01-31 07:58:05"|"2019-01-31 07:58:05"
"143908"|"occupied"|"44"|"2019-01-31 08:05:06"|"2019-01-31 08:05:06"
"143909"|"occupied"|"48"|"2019-01-31 08:07:05"|"2019-01-31 08:07:05"
"143910"|"occupied"|"29"|"2019-01-31 08:08:06"|"2019-01-31 08:08:06"
"143911"|"occupied"|"13"|"2019-01-31 08:09:06"|"2019-01-31 08:09:06"
"143912"|"free"|"43"|"2019-01-31 08:19:05"|"2019-01-31 08:19:05"
"143913"|"occupied"|"68"|"2019-01-31 08:19:06"|"2019-01-31 08:19:06"
"143914"|"occupied"|"5"|"2019-01-31 08:21:05"|"2019-01-31 08:21:05"
"143916"|"occupied"|"17"|"2019-01-31 08:26:05"|"2019-01-31 08:26:05"
"143917"|"occupied"|"40"|"2019-01-31 08:29:06"|"2019-01-31 08:29:06"
"143918"|"occupied"|"65"|"2019-01-31 08:36:05"|"2019-01-31 08:36:05"
"143919"|"occupied"|"3"|"2019-01-31 08:45:08"|"2019-01-31 08:45:08"
"143920"|"free"|"29"|"2019-01-31 08:52:05"|"2019-01-31 08:52:05"
"143921"|"occupied"|"8"|"2019-01-31 08:53:04"|"2019-01-31 08:53:04"
"143922"|"occupied"|"9"|"2019-01-31 08:54:04"|"2019-01-31 08:54:04"
"143923"|"occupied"|"92"|"2019-01-31 08:54:06"|"2019-01-31 08:54:06"
"143924"|"occupied"|"46"|"2019-01-31 08:55:06"|"2019-01-31 08:55:06"
"143925"|"free"|"92"|"2019-01-31 08:55:07"|"2019-01-31 08:55:07"
"143926"|"occupied"|"43"|"2019-01-31 08:56:05"|"2019-01-31 08:56:05"
"143927"|"occupied"|"49"|"2019-01-31 08:59:05"|"2019-01-31 08:59:05"
"143928"|"occupied"|"7"|"2019-01-31 09:00:06"|"2019-01-31 09:00:06"
"143929"|"occupied"|"30"|"2019-01-31 09:01:08"|"2019-01-31 09:01:08"
"143930"|"occupied"|"38"|"2019-01-31 09:04:06"|"2019-01-31 09:04:06"
"143931"|"occupied"|"73"|"2019-01-31 09:05:08"|"2019-01-31 09:05:08"
"143932"|"occupied"|"53"|"2019-01-31 09:06:05"|"2019-01-31 09:06:05"
"143933"|"occupied"|"45"|"2019-01-31 09:11:05"|"2019-01-31 09:11:06"
"143934"|"occupied"|"41"|"2019-01-31 09:15:05"|"2019-01-31 09:15:05"
"143935"|"occupied"|"19"|"2019-01-31 09:16:06"|"2019-01-31 09:16:06"
"143936"|"occupied"|"6"|"2019-01-31 09:19:04"|"2019-01-31 09:19:04"
"143937"|"occupied"|"79"|"2019-01-31 09:21:05"|"2019-01-31 09:21:05"
"143938"|"occupied"|"32"|"2019-01-31 09:27:08"|"2019-01-31 09:27:08"
"143941"|"occupied"|"87"|"2019-01-31 09:31:06"|"2019-01-31 09:31:06"
"143942"|"occupied"|"88"|"2019-01-31 09:32:06"|"2019-01-31 09:32:06"
"143943"|"occupied"|"62"|"2019-01-31 10:01:06"|"2019-01-31 10:01:06"
"143944"|"occupied"|"55"|"2019-01-31 10:07:04"|"2019-01-31 10:07:04"
"143945"|"free"|"89"|"2019-01-31 10:21:05"|"2019-01-31 10:21:05"
"143946"|"free"|"55"|"2019-01-31 10:27:05"|"2019-01-31 10:27:05"
"143947"|"free"|"46"|"2019-01-31 10:30:05"|"2019-01-31 10:30:05"
"143948"|"occupied"|"16"|"2019-01-31 10:31:04"|"2019-01-31 10:31:04"
"143949"|"occupied"|"77"|"2019-01-31 10:41:05"|"2019-01-31 10:41:05"
"143950"|"free"|"32"|"2019-01-31 10:46:05"|"2019-01-31 10:46:05"
"143951"|"occupied"|"32"|"2019-01-31 10:48:05"|"2019-01-31 10:48:05"
"143952"|"free"|"30"|"2019-01-31 10:51:04"|"2019-01-31 10:51:04"
"143953"|"occupied"|"89"|"2019-01-31 10:53:06"|"2019-01-31 10:53:06"
"143954"|"free"|"6"|"2019-01-31 10:54:05"|"2019-01-31 10:54:05"
"143955"|"free"|"16"|"2019-01-31 10:59:05"|"2019-01-31 10:59:05"
"143956"|"occupied"|"69"|"2019-01-31 11:21:06"|"2019-01-31 11:21:06"
"143957"|"free"|"48"|"2019-01-31 11:26:05"|"2019-01-31 11:26:05"
"143959"|"free"|"50"|"2019-01-31 11:33:05"|"2019-01-31 11:33:05"
"143960"|"free"|"8"|"2019-01-31 11:36:05"|"2019-01-31 11:36:05"
"143961"|"occupied"|"56"|"2019-01-31 11:36:06"|"2019-01-31 11:36:06"
"143962"|"occupied"|"80"|"2019-01-31 11:37:06"|"2019-01-31 11:37:06"
"143963"|"occupied"|"48"|"2019-01-31 11:43:06"|"2019-01-31 11:43:06"
